Location Category,Number of response training drills conducted in schools,Number of fire-fighting drills conducted in schools,Number of Aapda Mitras/Aapda Sakhis associated in conduct of these drills,Some good quality photos/videos
Municipalities,,,
Tier-2 cities,,,
Tier-3 cities,,,
